Class,Accuracy,Precision,Recall,F1
Cube,0.8260869565217391,0.8444444444444444,0.8837209302325582,0.8636363636363636
Stick,0.5652173913043478,0.49056603773584906,0.896551724137931,0.6341463414634146
Sphere,0.36231884057971014,0.18867924528301888,0.9090909090909091,0.3125
Flat,0.782608695652174,0.2,0.5,0.2857142857142857
Amorphous,0.7246376811594203,0.2857142857142857,0.6,0.3870967741935484
Macro-Average,0.07246376811594203,0.4018808026355196,0.7578727126922796,0.49661875300152253
Micro-Average,0.6521739130434783,0.44385026737967914,0.8383838383838383,0.5804195804195804
