Class,Accuracy,Precision,Recall,F1
Cube,0.7857142857142857,0.75,1.0,0.8571428571428571
Stick,0.7619047619047619,0.5714285714285714,0.6666666666666666,0.6153846153846154
Sphere,0.4523809523809524,0.23333333333333334,1.0,0.3783783783783784
Flat,0.9523809523809523,1.0,0.3333333333333333,0.5
Amorphous,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.4166666666666667
Macro-Average,0.047619047619047616,0.5776190476190476,0.711111111111111,0.5535145035145035
Micro-Average,0.7238095238095238,0.5,0.8275862068965517,0.6233766233766234
