Class,Accuracy,Precision,Recall,F1
Cube,0.5714285714285714,0.5882352941176471,0.8333333333333334,0.6896551724137931
Stick,0.6904761904761905,0.9090909090909091,0.45454545454545453,0.6060606060606061
Sphere,0.5476190476190477,0.2608695652173913,0.75,0.3870967741935484
Flat,0.9761904761904762,1.0,0.6666666666666666,0.8
Amorphous,0.47619047619047616,0.16666666666666666,0.6666666666666666,0.26666666666666666
Macro-Average,0.0,0.5849724870185228,0.6742424242424242,0.5498958438669229
Micro-Average,0.6523809523809524,0.44680851063829785,0.6666666666666666,0.535031847133758
