,rs,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized
0,0,0.75,0.7090909090909091,0.625,0.5636363636363637
1,10,0.75,0.6908212560386473,0.75,0.6908212560386473
2,20,0.6875,0.6536796536796536,0.625,0.5844155844155844
3,30,0.6875,0.6363636363636364,0.625,0.5636363636363637
4,40,0.75,0.7090909090909091,0.625,0.5636363636363637
