,rs,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized
0,0,0.8125,0.6444444444444445,0.875,0.762962962962963
1,10,0.75,0.5259259259259259,0.78125,0.43859649122807015
2,20,0.8125,0.6444444444444445,0.75,0.5259259259259259
3,30,0.875,0.4666666666666667,0.875,0.4666666666666667
4,40,0.8125,0.6444444444444445,0.875,0.762962962962963
