,rs,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized
0,0,0.875,0.7142857142857143,0.8125,0.5714285714285714
1,10,0.8125,0.4482758620689655,0.5,0.3333333333333333
2,20,0.65625,0.39622641509433965,0.8125,0.4482758620689655
3,30,0.8125,0.6444444444444445,0.8125,0.6444444444444445
4,40,0.875,0.7142857142857143,0.875,0.7142857142857143
