,rs,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized
0,0,0.8333333333333334,0.45454545454545453,0.5714285714285714,0.3636363636363637
1,10,0.0,0.0,0.0,0.0
2,20,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
4,40,0.7619047619047619,0.4324324324324324,0.11904761904761904,0.10638297872340424
