Class,Accuracy,Precision,Recall,F1
Cube,0.7101449275362319,0.9,0.6136363636363636,0.7297297297297297
Stick,0.5942028985507246,0.4482758620689655,0.52,0.48148148148148145
Sphere,0.36231884057971014,0.24528301886792453,0.7647058823529411,0.37142857142857144
Flat,0.5362318840579711,0.09375,0.5,0.15789473684210525
Amorphous,0.6376811594202898,0.2727272727272727,0.9,0.4186046511627907
Macro-Average,0.014492753623188406,0.39200723073283256,0.6596684491978609,0.4318278341289357
Micro-Average,0.5681159420289855,0.3672316384180791,0.6372549019607843,0.4659498207885305
