Class,Accuracy,Precision,Recall,F1
Cube,0.5942028985507246,0.8518518518518519,0.48936170212765956,0.6216216216216216
Stick,0.5797101449275363,0.5,0.41379310344827586,0.4528301886792453
Sphere,0.2318840579710145,0.14516129032258066,1.0,0.2535211267605634
Flat,0.9420289855072463,1.0,0.0,0.0
Amorphous,0.5072463768115942,0.1891891891891892,0.6363636363636364,0.2916666666666667
Macro-Average,0.043478260869565216,0.5372404662727244,0.5079036883879143,0.3239279207456194
Micro-Average,0.5710144927536231,0.34,0.51,0.408
