Class,Accuracy,Precision,Recall,F1
Cube,0.6666666666666666,0.65,1.0,0.7878787878787878
Stick,0.6666666666666666,0.7142857142857143,0.5,0.5882352941176471
Sphere,0.5,0.13636363636363635,0.6,0.2222222222222222
Flat,0.9285714285714286,0.3333333333333333,0.5,0.4
Amorphous,0.9285714285714286,0.7142857142857143,0.8333333333333334,0.7692307692307693
Macro-Average,0.09523809523809523,0.5096536796536796,0.6866666666666668,0.5535134146898852
Micro-Average,0.7380952380952381,0.5232558139534884,0.7627118644067796,0.6206896551724138
