Class,Accuracy,Precision,Recall,F1
Cube,0.6811594202898551,0.6779661016949152,0.9302325581395349,0.7843137254901961
Stick,0.6956521739130435,0.6,0.8275862068965517,0.6956521739130435
Sphere,0.7391304347826086,0.34782608695652173,0.7272727272727273,0.47058823529411764
Flat,0.9420289855072463,1.0,0.3333333333333333,0.5
Amorphous,0.8840579710144928,0.625,0.5,0.5555555555555556
Macro-Average,0.2463768115942029,0.6501584377302875,0.6636849651284294,0.6012219380505825
Micro-Average,0.7884057971014493,0.5984848484848485,0.797979797979798,0.683982683982684
