Class,Accuracy,Precision,Recall,F1
Cube,0.47619047619047616,0.7272727272727273,0.2962962962962963,0.42105263157894735
Stick,0.6190476190476191,0.3333333333333333,0.06666666666666667,0.1111111111111111
Sphere,0.38095238095238093,0.21875,0.875,0.35
Flat,0.8333333333333334,0.3333333333333333,0.4,0.36363636363636365
Amorphous,0.8571428571428571,1.0,0.14285714285714285,0.25
Macro-Average,0.07142857142857142,0.5225378787878787,0.3561640211640212,0.2991600212652844
Micro-Average,0.6333333333333333,0.3584905660377358,0.3064516129032258,0.33043478260869563
