Class,Accuracy,Precision,Recall,F1
Cube,0.7857142857142857,0.7272727272727273,1.0,0.8421052631578947
Stick,0.8095238095238095,0.7333333333333333,1.0,0.8461538461538461
Sphere,0.9285714285714286,1.0,0.625,0.7692307692307693
Flat,0.9523809523809523,0.6666666666666666,0.6666666666666666,0.6666666666666666
Amorphous,0.9285714285714286,0.8,0.6666666666666666,0.7272727272727273
Macro-Average,0.5,0.7854545454545454,0.7916666666666666,0.7702858544963809
Micro-Average,0.8809523809523809,0.75,0.9047619047619048,0.8201438848920863
