Class,Accuracy,Precision,Recall,F1
Cube,0.5476190476190477,0.7391304347826086,0.5666666666666667,0.6415094339622641
Stick,0.6428571428571429,0.6,0.5,0.5454545454545454
Sphere,0.47619047619047616,0.20833333333333334,0.625,0.3125
Flat,0.9523809523809523,1.0,0.0,0.0
Amorphous,0.6190476190476191,0.17647058823529413,0.6,0.2727272727272727
Macro-Average,0.21428571428571427,0.5447868712702472,0.4583333333333333,0.35443825042881644
Micro-Average,0.6476190476190476,0.43037974683544306,0.5396825396825397,0.4788732394366197
