Class,Accuracy,Precision,Recall,F1
Cube,0.47619047619047616,0.6,0.5555555555555556,0.5769230769230769
Stick,0.7380952380952381,0.5333333333333333,0.6666666666666666,0.5925925925925926
Sphere,0.5,0.23076923076923078,0.8571428571428571,0.36363636363636365
Flat,0.7142857142857143,0.09090909090909091,0.3333333333333333,0.14285714285714285
Amorphous,0.7619047619047619,0.0,0.0,0.0
Macro-Average,0.11904761904761904,0.29100233100233097,0.4825396825396826,0.33520183520183516
Micro-Average,0.638095238095238,0.38461538461538464,0.5172413793103449,0.4411764705882353
