Class,Accuracy,Precision,Recall,F1
Cube,0.6231884057971014,0.639344262295082,0.9069767441860465,0.75
Stick,0.5797101449275363,0.5,0.034482758620689655,0.06451612903225806
Sphere,0.15942028985507245,0.15942028985507245,1.0,0.275
Flat,0.9130434782608695,0.5,0.5,0.5
Amorphous,0.8260869565217391,0.25,0.1,0.14285714285714285
Macro-Average,0.07246376811594203,0.40975291043003087,0.5082919005613472,0.34647465437788016
Micro-Average,0.6202898550724638,0.3873239436619718,0.5555555555555556,0.45643153526970953
