Class,Accuracy,Precision,Recall,F1
Cube,0.4782608695652174,0.7619047619047619,0.3404255319148936,0.47058823529411764
Stick,0.43478260869565216,0.34375,0.3793103448275862,0.36065573770491804
Sphere,0.30434782608695654,0.15789473684210525,1.0,0.2727272727272727
Flat,0.6086956521739131,0.04,0.25,0.06896551724137931
Amorphous,0.5942028985507246,0.09523809523809523,0.18181818181818182,0.125
Macro-Average,0.014492753623188406,0.2797575187969925,0.4303108117121323,0.25958735259353755
Micro-Average,0.48405797101449277,0.25,0.39,0.3046875
