,rs,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized
0,0,0.5,0.33333333333333337,0.35714285714285715,0.2631578947368421
1,10,0.6190476190476191,0.3823529411764706,0.4523809523809524,0.3114754098360656
2,20,0.8095238095238095,0.4473684210526316,0.9285714285714286,0.48148148148148145
3,30,0.047619047619047616,0.04545454545454545,0.16666666666666666,0.14285714285714288
4,40,0.023809523809523808,0.023255813953488372,0.38095238095238093,0.27586206896551724
