Class,Accuracy,Precision,Recall,F1
Cube,0.5362318840579711,0.5238095238095238,0.3333333333333333,0.4074074074074074
Stick,0.5652173913043478,0.8,0.12121212121212122,0.21052631578947367
Sphere,0.34782608695652173,0.22807017543859648,0.9285714285714286,0.36619718309859156
Flat,0.9130434782608695,0.25,0.25,0.25
Amorphous,0.2463768115942029,0.14754098360655737,1.0,0.2571428571428571
Macro-Average,0.028985507246376812,0.38988413657093557,0.5266233766233765,0.29825475268766594
Micro-Average,0.5217391304347826,0.25675675675675674,0.40860215053763443,0.3153526970954357
