Class,Accuracy,Precision,Recall,F1
Cube,0.5217391304347826,0.5,0.3333333333333333,0.4
Stick,0.6376811594202898,0.6428571428571429,0.5454545454545454,0.5901639344262295
Sphere,0.42028985507246375,0.25,0.9285714285714286,0.3939393939393939
Flat,0.6666666666666666,0.12,0.75,0.20689655172413793
Amorphous,0.7536231884057971,0.3333333333333333,0.8888888888888888,0.48484848484848486
Macro-Average,0.08695652173913043,0.36923809523809525,0.6892496392496392,0.4151696729876493
Micro-Average,0.6,0.3509933774834437,0.5698924731182796,0.4344262295081967
