Class,Accuracy,Precision,Recall,F1
Cube,0.7142857142857143,0.6764705882352942,0.9583333333333334,0.7931034482758621
Stick,0.6904761904761905,0.6551724137931034,0.8636363636363636,0.7450980392156863
Sphere,0.8333333333333334,0.5555555555555556,0.625,0.5882352941176471
Flat,0.9523809523809523,1.0,0.3333333333333333,0.5
Amorphous,0.8809523809523809,0.5714285714285714,0.6666666666666666,0.6153846153846154
Macro-Average,0.3333333333333333,0.6917254258025048,0.6893939393939394,0.6483642793987622
Micro-Average,0.8142857142857143,0.65,0.8253968253968254,0.7272727272727273
