Class,Accuracy,Precision,Recall,F1
Cube,0.3188405797101449,0.0,0.0,0.0
Stick,0.5942028985507246,1.0,0.0,0.0
Sphere,0.7971014492753623,0.2727272727272727,0.3333333333333333,0.3
Flat,0.8695652173913043,0.14285714285714285,0.25,0.18181818181818182
Amorphous,0.2318840579710145,0.2,0.9285714285714286,0.3291139240506329
Macro-Average,0.014492753623188406,0.3231168831168831,0.30238095238095236,0.16218642117376295
Micro-Average,0.5623188405797102,0.20238095238095238,0.16831683168316833,0.1837837837837838
