Class,Accuracy,Precision,Recall,F1
Cube,0.7619047619047619,0.7631578947368421,0.9666666666666667,0.8529411764705882
Stick,0.4523809523809524,0.4,0.7058823529411765,0.5106382978723404
Sphere,0.7380952380952381,0.36363636363636365,0.5,0.42105263157894735
Flat,0.9761904761904762,1.0,0.5,0.6666666666666666
Amorphous,0.9285714285714286,1.0,0.25,0.4
Macro-Average,0.2619047619047619,0.7053588516746412,0.5845098039215687,0.5702597545177085
Micro-Average,0.7714285714285715,0.5802469135802469,0.7704918032786885,0.6619718309859155
