Class,Accuracy,Precision,Recall,F1
Cube,0.5652173913043478,0.5272727272727272,0.8787878787878788,0.6590909090909091
Stick,0.7536231884057971,0.7,0.8484848484848485,0.7671232876712328
Sphere,0.8405797101449275,0.5789473684210527,0.7857142857142857,0.6666666666666666
Flat,0.9710144927536232,1.0,0.5,0.6666666666666666
Amorphous,0.8985507246376812,0.5833333333333334,0.7777777777777778,0.6666666666666666
Macro-Average,0.3333333333333333,0.6779106858054227,0.7581529581529581,0.6852428393524284
Micro-Average,0.8057971014492754,0.6015625,0.8279569892473119,0.6968325791855203
