Class,Accuracy,Precision,Recall,F1
Cube,0.6190476190476191,0.6190476190476191,1.0,0.7647058823529411
Stick,0.7142857142857143,0.7222222222222222,0.65,0.6842105263157895
Sphere,0.2857142857142857,0.14285714285714285,1.0,0.25
Flat,0.7619047619047619,0.1,0.5,0.16666666666666666
Amorphous,0.7142857142857143,0.3125,0.8333333333333334,0.45454545454545453
Macro-Average,0.023809523809523808,0.37932539682539684,0.7966666666666666,0.4640257059761703
Micro-Average,0.6190476190476191,0.4132231404958678,0.847457627118644,0.5555555555555556
