Class,Accuracy,Precision,Recall,F1
Cube,0.4927536231884058,0.7727272727272727,0.3617021276595745,0.4927536231884058
Stick,0.4057971014492754,0.40625,0.896551724137931,0.5591397849462365
Sphere,0.2753623188405797,0.11320754716981132,0.6666666666666666,0.1935483870967742
Flat,0.8405797101449275,0.0,0.0,0.0
Amorphous,0.6956521739130435,0.0,0.0,0.0
Macro-Average,0.014492753623188406,0.2584369639794168,0.3849841036928344,0.2490883590462833
Micro-Average,0.5420289855072464,0.3141025641025641,0.49,0.3828125
