Class,Accuracy,Precision,Recall,F1
Cube,0.37681159420289856,0.4,0.6060606060606061,0.4819277108433735
Stick,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.6567164179104478
Sphere,0.6376811594202898,0.3333333333333333,0.7857142857142857,0.46808510638297873
Flat,0.9565217391304348,1.0,0.25,0.4
Amorphous,0.7246376811594203,0.3076923076923077,0.8888888888888888,0.45714285714285713
Macro-Average,0.15942028985507245,0.5376168929110106,0.6394660894660895,0.4927744184559314
Micro-Average,0.672463768115942,0.4305555555555556,0.6666666666666666,0.5232067510548524
