Class,Accuracy,Precision,Recall,F1
Cube,0.4492753623188406,0.7777777777777778,0.16279069767441862,0.2692307692307692
Stick,0.5362318840579711,0.5,0.125,0.2
Sphere,0.30434782608695654,0.18867924528301888,0.6666666666666666,0.29411764705882354
Flat,0.927536231884058,1.0,0.0,0.0
Amorphous,0.2608695652173913,0.12280701754385964,0.875,0.2153846153846154
Macro-Average,0.043478260869565216,0.5178528081209313,0.36589147286821705,0.19574660633484162
Micro-Average,0.4956521739130435,0.2204724409448819,0.27184466019417475,0.24347826086956523
