Class,Accuracy,Precision,Recall,F1
Cube,0.42857142857142855,0.5333333333333333,0.6153846153846154,0.5714285714285714
Stick,0.7142857142857143,1.0,0.4,0.5714285714285714
Sphere,0.4523809523809524,0.15384615384615385,0.8,0.25806451612903225
Flat,0.5714285714285714,0.05555555555555555,0.5,0.1
Amorphous,0.5952380952380952,0.2608695652173913,1.0,0.41379310344827586
Macro-Average,0.047619047619047616,0.4007209215904868,0.663076923076923,0.3829429524868902
Micro-Average,0.5523809523809524,0.3333333333333333,0.5932203389830508,0.4268292682926829
