,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized,particle
0,0.73 ± 0.04,0.71 ± 0.04,0.74 ± 0.04,0.72 ± 0.04,Cube
0,0.72 ± 0.05,0.71 ± 0.06,0.78 ± 0.04,0.77 ± 0.05,Stick
0,0.81 ± 0.05,0.69 ± 0.08,0.81 ± 0.07,0.71 ± 0.06,Sphere
0,0.60 ± 0.27,0.35 ± 0.12,0.67 ± 0.23,0.41 ± 0.12,Flat
0,0.79 ± 0.02,0.57 ± 0.04,0.78 ± 0.03,0.53 ± 0.02,Amorphous
0,0.82 ± 0.10,0.60 ± 0.16,0.82 ± 0.11,0.58 ± 0.14,Cube_s
0,0.62 ± 0.06,0.45 ± 0.07,0.64 ± 0.05,0.44 ± 0.04,Cube_m
0,0.67 ± 0.06,0.62 ± 0.06,0.62 ± 0.08,0.57 ± 0.08,Cube_l
0,0.55 ± 0.45,0.39 ± 0.37,0.54 ± 0.44,0.28 ± 0.23,Sphere_s
0,0.85 ± 0.05,0.60 ± 0.05,0.84 ± 0.05,0.57 ± 0.04,Sphere_m
0,0.67 ± 0.22,0.42 ± 0.13,0.78 ± 0.14,0.47 ± 0.10,Sphere_l
0,0.78 ± 0.02,0.49 ± 0.05,0.76 ± 0.07,0.47 ± 0.06,Stick_s
0,0.83 ± 0.05,0.63 ± 0.08,0.86 ± 0.04,0.60 ± 0.13,Stick_m
0,0.79 ± 0.04,0.60 ± 0.02,0.81 ± 0.05,0.64 ± 0.06,Stick_l
0,0.40 ± 0.31,0.25 ± 0.18,0.46 ± 0.25,0.29 ± 0.11,Flat_s
0,0.20 ± 0.30,0.13 ± 0.17,0.21 ± 0.32,0.13 ± 0.18,Flat_m
0,0.06 ± 0.08,0.05 ± 0.07,0.11 ± 0.14,0.09 ± 0.11,Flat_l
0,0.90 ± 0.15,0.72 ± 0.26,0.90 ± 0.14,0.72 ± 0.25,Amorphous_s
0,0.69 ± 0.18,0.47 ± 0.14,0.77 ± 0.25,0.49 ± 0.16,Amorphous_m
0,0.88 ± 0.03,0.59 ± 0.07,0.87 ± 0.04,0.53 ± 0.09,Amorphous_l
