,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized,particle
0,0.76 ± 0.06,0.74 ± 0.04,0.79 ± 0.05,0.77 ± 0.04,Cube
0,0.76 ± 0.04,0.74 ± 0.05,0.80 ± 0.02,0.79 ± 0.03,Stick
0,0.82 ± 0.04,0.74 ± 0.06,0.80 ± 0.05,0.71 ± 0.07,Sphere
0,0.61 ± 0.33,0.39 ± 0.23,0.57 ± 0.33,0.38 ± 0.24,Flat
0,0.81 ± 0.08,0.58 ± 0.14,0.76 ± 0.13,0.54 ± 0.14,Amorphous
0,0.85 ± 0.03,0.57 ± 0.10,0.77 ± 0.09,0.51 ± 0.12,Cube_s
0,0.68 ± 0.06,0.48 ± 0.08,0.66 ± 0.07,0.48 ± 0.09,Cube_m
0,0.71 ± 0.04,0.66 ± 0.04,0.65 ± 0.05,0.59 ± 0.05,Cube_l
0,0.57 ± 0.47,0.49 ± 0.45,0.51 ± 0.42,0.28 ± 0.23,Sphere_s
0,0.82 ± 0.02,0.57 ± 0.06,0.84 ± 0.05,0.62 ± 0.06,Sphere_m
0,0.64 ± 0.16,0.38 ± 0.06,0.68 ± 0.15,0.45 ± 0.14,Sphere_l
0,0.78 ± 0.06,0.50 ± 0.09,0.74 ± 0.11,0.45 ± 0.07,Stick_s
0,0.81 ± 0.07,0.54 ± 0.14,0.81 ± 0.07,0.60 ± 0.15,Stick_m
0,0.82 ± 0.05,0.59 ± 0.10,0.82 ± 0.05,0.65 ± 0.04,Stick_l
0,0.57 ± 0.30,0.33 ± 0.17,0.45 ± 0.23,0.29 ± 0.15,Flat_s
0,0.36 ± 0.44,0.22 ± 0.28,0.31 ± 0.40,0.27 ± 0.39,Flat_m
0,0.31 ± 0.39,0.17 ± 0.21,0.17 ± 0.34,0.09 ± 0.18,Flat_l
0,0.54 ± 0.45,0.38 ± 0.37,0.55 ± 0.45,0.39 ± 0.37,Amorphous_s
0,0.62 ± 0.32,0.35 ± 0.18,0.69 ± 0.35,0.45 ± 0.25,Amorphous_m
0,0.78 ± 0.23,0.59 ± 0.21,0.76 ± 0.30,0.54 ± 0.22,Amorphous_l
