Class,Accuracy,Precision,Recall,F1
Cube,0.3333333333333333,1.0,0.0,0.0
Stick,0.6086956521739131,0.6,0.10714285714285714,0.18181818181818182
Sphere,0.36231884057971014,0.14285714285714285,0.7777777777777778,0.2413793103448276
Flat,0.9420289855072463,1.0,0.0,0.0
Amorphous,0.463768115942029,0.07407407407407407,0.14285714285714285,0.0975609756097561
Macro-Average,0.08695652173913043,0.5633862433862433,0.20555555555555555,0.10415169355455309
Micro-Average,0.5420289855072464,0.14814814814814814,0.1188118811881188,0.13186813186813187
