Class,Accuracy,Precision,Recall,F1
Cube,0.6666666666666666,0.7096774193548387,0.8148148148148148,0.7586206896551724
Stick,0.42857142857142855,0.2857142857142857,0.6666666666666666,0.4
Sphere,0.8571428571428571,0.5555555555555556,0.7142857142857143,0.625
Flat,0.9523809523809523,1.0,0.3333333333333333,0.5
Amorphous,0.8571428571428571,0.8,0.4444444444444444,0.5714285714285714
Macro-Average,0.16666666666666666,0.670189452124936,0.5947089947089947,0.5710098522167488
Micro-Average,0.7523809523809524,0.5405405405405406,0.6896551724137931,0.6060606060606061
