Class,Accuracy,Precision,Recall,F1
Cube,0.4492753623188406,0.4074074074074074,0.3333333333333333,0.36666666666666664
Stick,0.5362318840579711,0.5384615384615384,0.21212121212121213,0.30434782608695654
Sphere,0.3188405797101449,0.21052631578947367,0.8571428571428571,0.3380281690140845
Flat,0.9565217391304348,1.0,0.25,0.4
Amorphous,0.3333333333333333,0.06976744186046512,0.3333333333333333,0.11538461538461539
Macro-Average,0.07246376811594203,0.4452325407037769,0.3971861471861472,0.30488545543046464
Micro-Average,0.518840579710145,0.24113475177304963,0.3655913978494624,0.2905982905982906
