Class,Accuracy,Precision,Recall,F1
Cube,0.7857142857142857,0.92,0.7666666666666667,0.8363636363636363
Stick,0.5476190476190477,0.3333333333333333,0.11764705882352941,0.17391304347826086
Sphere,0.5952380952380952,0.23529411764705882,0.5,0.32
Flat,1.0,1.0,1.0,1.0
Amorphous,0.9285714285714286,1.0,0.25,0.4
Macro-Average,0.2857142857142857,0.6977254901960784,0.5268627450980392,0.5460553359683794
Micro-Average,0.7714285714285715,0.6274509803921569,0.5245901639344263,0.5714285714285714
