Class,Accuracy,Precision,Recall,F1
Cube,0.8115942028985508,0.8,0.9565217391304348,0.8712871287128713
Stick,0.5797101449275363,0.4444444444444444,0.2962962962962963,0.35555555555555557
Sphere,0.7391304347826086,0.45,0.5625,0.5
Flat,1.0,1.0,1.0,1.0
Amorphous,0.5507246376811594,0.1724137931034483,0.4166666666666667,0.24390243902439024
Macro-Average,0.17391304347826086,0.5733716475095786,0.6463969404186796,0.5941490246585633
Micro-Average,0.736231884057971,0.552,0.6634615384615384,0.6026200873362445
