Class,Accuracy,Precision,Recall,F1
Cube,0.7142857142857143,0.6923076923076923,1.0,0.8181818181818182
Stick,0.6666666666666666,0.52,0.8666666666666667,0.65
Sphere,0.8809523809523809,1.0,0.375,0.5454545454545454
Flat,0.7619047619047619,0.2727272727272727,0.6,0.375
Amorphous,0.9285714285714286,1.0,0.5714285714285714,0.7272727272727273
Macro-Average,0.21428571428571427,0.6970069930069929,0.6826190476190476,0.6231818181818183
Micro-Average,0.7904761904761904,0.6097560975609756,0.8064516129032258,0.6944444444444444
