Class,Accuracy,Precision,Recall,F1
Cube,0.7142857142857143,0.7777777777777778,0.7777777777777778,0.7777777777777778
Stick,0.5714285714285714,0.46153846153846156,0.75,0.5714285714285714
Sphere,0.6666666666666666,0.2777777777777778,0.8333333333333334,0.4166666666666667
Flat,0.9523809523809523,0.0,0.0,0.0
Amorphous,0.6666666666666666,0.3157894736842105,0.8571428571428571,0.46153846153846156
Macro-Average,0.14285714285714285,0.36657669815564553,0.6436507936507937,0.4454822954822955
Micro-Average,0.7142857142857143,0.4835164835164835,0.7719298245614035,0.5945945945945946
