,rs,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized
0,0,0.7681159420289855,0.43442622950819676,0.9130434782608695,0.6765625000000001
1,10,0.6086956521739131,0.3783783783783784,0.6231884057971014,0.3839285714285714
2,20,0.36231884057971014,0.26595744680851063,0.17391304347826086,0.14814814814814814
3,30,0.8405797101449275,0.45669291338582674,0.8985507246376812,0.4732824427480916
4,40,0.6231884057971014,0.3839285714285714,0.42028985507246375,0.29591836734693877
