Class,Accuracy,Precision,Recall,F1
Cube,0.5507246376811594,0.6666666666666666,0.6222222222222222,0.6436781609195402
Stick,0.6231884057971014,0.47619047619047616,0.4,0.43478260869565216
Sphere,0.43478260869565216,0.10810810810810811,0.4,0.1702127659574468
Flat,0.9130434782608695,1.0,0.0,0.0
Amorphous,0.5942028985507246,0.2962962962962963,0.47058823529411764,0.36363636363636365
Macro-Average,0.14492753623188406,0.5094523094523095,0.378562091503268,0.3224619798418006
Micro-Average,0.6231884057971014,0.3937007874015748,0.4854368932038835,0.43478260869565216
