Class,Accuracy,Precision,Recall,F1
Cube,0.6376811594202898,0.58,0.8787878787878788,0.6987951807228916
Stick,0.7536231884057971,0.7105263157894737,0.8181818181818182,0.7605633802816901
Sphere,0.8115942028985508,0.5238095238095238,0.7857142857142857,0.6285714285714286
Flat,0.9710144927536232,1.0,0.5,0.6666666666666666
Amorphous,0.8840579710144928,0.5384615384615384,0.7777777777777778,0.6363636363636364
Macro-Average,0.37681159420289856,0.6705594756121072,0.7520923520923521,0.6781920585212626
Micro-Average,0.8115942028985508,0.6129032258064516,0.8172043010752689,0.7004608294930875
