Class,Accuracy,Precision,Recall,F1
Cube,0.34782608695652173,0.0,0.0,0.0
Stick,0.5652173913043478,0.0,0.0,0.0
Sphere,0.6666666666666666,0.0,0.0,0.0
Flat,0.34782608695652173,0.0,0.0,0.0
Amorphous,0.7246376811594203,0.0,0.0,0.0
Macro-Average,0.0,0.0,0.0,0.0
Micro-Average,0.5304347826086957,0.0,0.0,0.0
