Class,Accuracy,Precision,Recall,F1
Cube,0.5217391304347826,0.6666666666666666,0.46511627906976744,0.547945205479452
Stick,0.7101449275362319,0.8,0.41379310344827586,0.5454545454545454
Sphere,0.5362318840579711,0.21621621621621623,0.7272727272727273,0.3333333333333333
Flat,0.927536231884058,0.6666666666666666,0.3333333333333333,0.4444444444444444
Amorphous,0.21739130434782608,0.14516129032258066,0.9,0.25
Macro-Average,0.07246376811594203,0.49894216797442603,0.5679030886248209,0.424235505742355
Micro-Average,0.5826086956521739,0.3469387755102041,0.5151515151515151,0.4146341463414634
