Class,Accuracy,Precision,Recall,F1
Cube,0.391304347826087,0.6666666666666666,0.046511627906976744,0.08695652173913043
Stick,0.5362318840579711,1.0,0.0,0.0
Sphere,0.7101449275362319,0.14285714285714285,0.06666666666666667,0.09090909090909091
Flat,0.5362318840579711,0.034482758620689655,0.2,0.058823529411764705
Amorphous,0.13043478260869565,0.10606060606060606,0.875,0.1891891891891892
Macro-Average,0.0,0.390013434841021,0.23763565891472868,0.08517566624983505
Micro-Average,0.4608695652173913,0.10476190476190476,0.10679611650485436,0.10576923076923077
