Class,Accuracy,Precision,Recall,F1
Cube,0.4782608695652174,0.6,0.4883720930232558,0.5384615384615384
Stick,0.5217391304347826,0.4523809523809524,0.6551724137931034,0.5352112676056338
Sphere,0.6086956521739131,0.23333333333333334,0.6363636363636364,0.34146341463414637
Flat,0.7971014492753623,0.0,0.0,0.0
Amorphous,0.8260869565217391,0.0,0.0,0.0
Macro-Average,0.08695652173913043,0.2571428571428572,0.35598162863599914,0.28302724414026376
Micro-Average,0.6463768115942029,0.4017094017094017,0.47474747474747475,0.4351851851851852
