Class,Accuracy,Precision,Recall,F1
Cube,0.5507246376811594,0.8260869565217391,0.41304347826086957,0.5507246376811594
Stick,0.6376811594202898,0.6666666666666666,0.21428571428571427,0.32432432432432434
Sphere,0.2753623188405797,0.15254237288135594,1.0,0.2647058823529412
Flat,0.9420289855072463,1.0,0.0,0.0
Amorphous,0.4492753623188406,0.2,0.5714285714285714,0.2962962962962963
Macro-Average,0.10144927536231885,0.5690591992139524,0.43975155279503103,0.2872102281309442
Micro-Average,0.5710144927536231,0.32061068702290074,0.4158415841584158,0.3620689655172414
