Class,Accuracy,Precision,Recall,F1
Cube,0.7619047619047619,0.7297297297297297,1.0,0.84375
Stick,0.6190476190476191,0.4166666666666667,0.8333333333333334,0.5555555555555556
Sphere,0.9523809523809523,1.0,0.7142857142857143,0.8333333333333334
Flat,0.9523809523809523,1.0,0.3333333333333333,0.5
Amorphous,0.7380952380952381,0.4166666666666667,0.5555555555555556,0.47619047619047616
Macro-Average,0.23809523809523808,0.7126126126126126,0.6873015873015873,0.6417658730158731
Micro-Average,0.8047619047619048,0.6075949367088608,0.8275862068965517,0.7007299270072993
