Class,Accuracy,Precision,Recall,F1
Cube,0.78125,0.7777777777777778,0.9545454545454546,0.8571428571428571
Stick,0.625,0.5555555555555556,0.38461538461538464,0.45454545454545453
Sphere,0.4375,0.23809523809523808,0.7142857142857143,0.35714285714285715
Flat,0.9375,1.0,0.0,0.0
Amorphous,0.6875,0.18181818181818182,0.6666666666666666,0.2857142857142857
Macro-Average,0.1875,0.5506493506493506,0.544022644022644,0.39090909090909093
Micro-Average,0.69375,0.4852941176470588,0.7021276595744681,0.5739130434782609
