Class,Accuracy,Precision,Recall,F1
Cube,0.8571428571428571,0.8214285714285714,0.9583333333333334,0.8846153846153846
Stick,0.6428571428571429,0.7692307692307693,0.45454545454545453,0.5714285714285714
Sphere,0.8333333333333334,0.5555555555555556,0.625,0.5882352941176471
Flat,0.8571428571428571,0.2,0.3333333333333333,0.25
Amorphous,0.30952380952380953,0.15151515151515152,0.8333333333333334,0.2564102564102564
Macro-Average,0.14285714285714285,0.49954600954600964,0.640909090909091,0.5101379013143719
Micro-Average,0.7,0.5,0.6984126984126984,0.5827814569536424
