Class,Accuracy,Precision,Recall,F1
Cube,0.2898550724637681,0.42105263157894735,0.17391304347826086,0.24615384615384617
Stick,0.5072463768115942,0.2857142857142857,0.14285714285714285,0.19047619047619047
Sphere,0.2898550724637681,0.14285714285714285,0.8888888888888888,0.24615384615384617
Flat,0.36231884057971014,0.045454545454545456,0.5,0.08333333333333333
Amorphous,0.4927536231884058,0.2,0.5,0.2857142857142857
Macro-Average,0.0,0.21901572112098427,0.4411318150448585,0.21036630036630038
Micro-Average,0.3884057971014493,0.17261904761904762,0.2871287128712871,0.21561338289962825
