Class,Accuracy,Precision,Recall,F1
Cube,0.42028985507246375,0.4339622641509434,0.696969696969697,0.5348837209302325
Stick,0.7391304347826086,0.7419354838709677,0.696969696969697,0.71875
Sphere,0.6666666666666666,0.3548387096774194,0.7857142857142857,0.4888888888888889
Flat,0.9710144927536232,1.0,0.5,0.6666666666666666
Amorphous,0.8260869565217391,0.4,0.6666666666666666,0.5
Macro-Average,0.21739130434782608,0.5861472915398661,0.6692640692640692,0.5818378552971576
Micro-Average,0.7246376811594203,0.49242424242424243,0.6989247311827957,0.5777777777777777
