Class,Accuracy,Precision,Recall,F1
Cube,0.4927536231884058,0.6428571428571429,0.574468085106383,0.6067415730337079
Stick,0.4782608695652174,0.37037037037037035,0.3448275862068966,0.35714285714285715
Sphere,0.2898550724637681,0.15517241379310345,1.0,0.26865671641791045
Flat,0.782608695652174,0.13333333333333333,0.5,0.21052631578947367
Amorphous,0.5507246376811594,0.23684210526315788,0.8181818181818182,0.3673469387755102
Macro-Average,0.0,0.3077150731234216,0.6474954978990196,0.3620828802318919
Micro-Average,0.518840579710145,0.31666666666666665,0.57,0.40714285714285714
