Class,Accuracy,Precision,Recall,F1
Cube,0.3333333333333333,0.4444444444444444,0.27906976744186046,0.34285714285714286
Stick,0.5507246376811594,0.5555555555555556,0.15625,0.24390243902439024
Sphere,0.3188405797101449,0.23333333333333334,0.9333333333333333,0.37333333333333335
Flat,0.927536231884058,0.5,0.2,0.2857142857142857
Amorphous,0.36231884057971014,0.02631578947368421,0.125,0.043478260869565216
Macro-Average,0.028985507246376812,0.35192982456140354,0.33873062015503874,0.25785709235974347
Micro-Average,0.4985507246376812,0.2426470588235294,0.32038834951456313,0.27615062761506276
