Class,Accuracy,Precision,Recall,F1
Cube,0.5362318840579711,0.5454545454545454,0.18181818181818182,0.2727272727272727
Stick,0.5797101449275363,0.75,0.18181818181818182,0.2926829268292683
Sphere,0.2028985507246377,0.19402985074626866,0.9285714285714286,0.32098765432098764
Flat,0.9420289855072463,1.0,0.0,0.0
Amorphous,0.7681159420289855,0.0,0.0,0.0
Macro-Average,0.14492753623188406,0.4978968792401628,0.2584415584415584,0.17727957077550574
Micro-Average,0.6057971014492753,0.26881720430107525,0.26881720430107525,0.26881720430107525
